0 original_uv  uvhat 
0 (248,253,1),(247,228,1)
1 (247,222,1),(247,206,1)
2 (246,190,1),(246,185,1)
3 (245,158,1),(245,163,1)
4 (244,126,1),(244,141,1)
5 (244,94,1),(243,118,1)
6 (277,255,1),(277,229,1)
7 (276,223,1),(277,207,1)
8 (275,190,1),(276,185,1)
9 (275,158,1),(275,163,1)
10 (274,124,1),(275,140,1)
11 (274,92,1),(274,118,1)
12 (308,256,1),(308,230,1)
13 (307,224,1),(308,208,1)
14 (307,191,1),(307,185,1)
15 (306,157,1),(307,163,1)
16 (306,123,1),(306,140,1)
17 (305,90,1),(306,117,1)
18 (340,258,1),(340,231,1)
19 (339,225,1),(339,209,1)
20 (339,191,1),(339,186,1)
21 (338,157,1),(339,163,1)
22 (338,123,1),(338,140,1)
23 (338,88,1),(338,116,1)
24 (372,259,1),(372,232,1)
25 (372,226,1),(372,209,1)
26 (372,192,1),(372,186,1)
27 (372,157,1),(372,163,1)
28 (372,122,1),(372,140,1)
29 (371,87,1),(371,116,1)
30 (406,261,1),(406,233,1)
31 (406,227,1),(406,210,1)
32 (406,192,1),(406,187,1)
33 (406,157,1),(406,163,1)
34 (406,122,1),(406,139,1)
35 (406,86,1),(406,115,1)
36 (440,263,1),(440,234,1)
37 (441,228,1),(440,211,1)
38 (441,193,1),(440,187,1)
39 (442,157,1),(441,163,1)
40 (442,122,1),(441,139,1)
41 (441,86,1),(441,115,1)
42 (475,264,1),(475,235,1)
43 (476,230,1),(476,211,1)
44 (477,194,1),(476,188,1)
45 (477,158,1),(477,163,1)
46 (478,122,1),(477,139,1)
47 (477,86,1),(477,114,1)
48 (510,266,1),(512,236,1)
49 (511,231,1),(512,212,1)
50 (513,195,1),(513,188,1)
51 (513,159,1),(514,163,1)
52 (514,122,1),(514,138,1)
53 (513,86,1),(515,113,1)
1 original_uv  uvhat 
0 (435,402,1),(439,416,1)
1 (401,391,1),(401,406,1)
2 (363,386,1),(364,397,1)
3 (327,378,1),(327,388,1)
4 (291,369,1),(290,380,1)
5 (256,362,1),(254,371,1)
6 (446,376,1),(447,391,1)
7 (408,368,1),(408,381,1)
8 (369,360,1),(369,372,1)
9 (330,352,1),(330,363,1)
10 (292,343,1),(292,353,1)
11 (255,334,1),(254,344,1)
12 (456,352,1),(457,363,1)
13 (416,344,1),(415,354,1)
14 (375,336,1),(374,344,1)
15 (334,327,1),(334,334,1)
16 (293,318,1),(293,325,1)
17 (254,308,1),(253,315,1)
18 (468,325,1),(467,333,1)
19 (425,317,1),(424,323,1)
20 (381,308,1),(380,313,1)
21 (338,299,1),(338,303,1)
22 (295,289,1),(295,293,1)
23 (253,280,1),(253,283,1)
24 (480,296,1),(479,300,1)
25 (434,286,1),(433,289,1)
26 (388,277,1),(387,278,1)
27 (342,267,1),(342,268,1)
28 (296,258,1),(297,258,1)
29 (252,248,1),(253,247,1)
30 (493,262,1),(492,262,1)
31 (445,252,1),(443,251,1)
32 (396,242,1),(395,240,1)
33 (347,232,1),(347,229,1)
34 (298,222,1),(299,218,1)
35 (251,212,1),(252,207,1)
36 (507,224,1),(507,220,1)
37 (456,213,1),(455,208,1)
38 (404,202,1),(403,196,1)
39 (352,192,1),(352,185,1)
40 (301,182,1),(302,174,1)
41 (251,172,1),(252,163,1)
42 (523,181,1),(523,171,1)
43 (469,169,1),(468,159,1)
44 (413,157,1),(413,147,1)
45 (358,146,1),(358,135,1)
46 (303,136,1),(304,124,1)
47 (251,127,1),(251,112,1)
48 (540,133,1),(542,116,1)
49 (483,120,1),(483,104,1)
50 (424,107,1),(424,91,1)
51 (365,96,1),(365,79,1)
52 (307,86,1),(308,66,1)
53 (251,78,1),(251,54,1)
2 original_uv  uvhat 
0 (187,257,1),(183,245,1)
1 (205,217,1),(204,216,1)
2 (224,177,1),(223,189,1)
3 (242,140,1),(242,162,1)
4 (260,105,1),(260,137,1)
5 (277,72,1),(277,113,1)
6 (225,272,1),(225,256,1)
7 (244,231,1),(244,226,1)
8 (262,190,1),(263,198,1)
9 (280,151,1),(281,171,1)
10 (297,115,1),(298,145,1)
11 (313,81,1),(314,121,1)
12 (266,289,1),(267,267,1)
13 (284,245,1),(286,237,1)
14 (303,203,1),(304,208,1)
15 (320,163,1),(321,180,1)
16 (337,126,1),(338,154,1)
17 (353,91,1),(353,129,1)
18 (309,305,1),(311,278,1)
19 (327,261,1),(329,247,1)
20 (345,218,1),(346,218,1)
21 (362,177,1),(362,189,1)
22 (378,138,1),(378,163,1)
23 (393,102,1),(393,137,1)
24 (355,323,1),(356,290,1)
25 (373,277,1),(373,258,1)
26 (390,232,1),(389,228,1)
27 (406,190,1),(405,199,1)
28 (421,150,1),(420,172,1)
29 (434,113,1),(434,145,1)
30 (402,340,1),(402,301,1)
31 (419,293,1),(418,269,1)
32 (435,248,1),(433,238,1)
33 (450,205,1),(448,209,1)
34 (464,164,1),(462,181,1)
35 (477,126,1),(476,154,1)
36 (449,357,1),(449,313,1)
37 (466,310,1),(464,280,1)
38 (481,264,1),(479,249,1)
39 (495,220,1),(493,219,1)
40 (508,178,1),(506,190,1)
41 (519,139,1),(518,163,1)
42 (497,374,1),(498,326,1)
43 (513,326,1),(512,292,1)
44 (528,279,1),(526,260,1)
45 (541,235,1),(539,229,1)
46 (552,193,1),(551,200,1)
47 (562,153,1),(562,172,1)
48 (544,390,1),(548,339,1)
49 (559,342,1),(561,304,1)
50 (573,295,1),(574,271,1)
51 (585,250,1),(586,240,1)
52 (595,208,1),(597,210,1)
53 (603,168,1),(608,181,1)
3 original_uv  uvhat 
0 (179,328,1),(177,296,1)
1 (180,287,1),(179,267,1)
2 (181,247,1),(181,240,1)
3 (183,207,1),(182,212,1)
4 (185,168,1),(184,185,1)
5 (188,130,1),(186,159,1)
6 (215,330,1),(215,297,1)
7 (216,288,1),(216,268,1)
8 (217,246,1),(218,239,1)
9 (218,205,1),(219,211,1)
10 (220,165,1),(221,184,1)
11 (223,127,1),(223,157,1)
12 (253,332,1),(254,297,1)
13 (254,289,1),(255,268,1)
14 (255,246,1),(257,239,1)
15 (256,204,1),(258,211,1)
16 (258,163,1),(259,183,1)
17 (260,123,1),(260,156,1)
18 (294,334,1),(295,298,1)
19 (295,290,1),(296,268,1)
20 (296,246,1),(297,239,1)
21 (297,202,1),(297,210,1)
22 (298,160,1),(298,182,1)
23 (299,120,1),(299,154,1)
24 (337,335,1),(337,299,1)
25 (338,290,1),(338,268,1)
26 (338,245,1),(338,238,1)
27 (338,201,1),(339,209,1)
28 (339,158,1),(339,180,1)
29 (340,117,1),(340,152,1)
30 (382,337,1),(381,300,1)
31 (382,291,1),(381,269,1)
32 (382,245,1),(381,238,1)
33 (382,200,1),(381,208,1)
34 (382,156,1),(381,179,1)
35 (382,114,1),(381,150,1)
36 (428,337,1),(427,301,1)
37 (428,291,1),(427,269,1)
38 (428,244,1),(426,238,1)
39 (427,198,1),(426,207,1)
40 (427,154,1),(425,177,1)
41 (425,112,1),(425,148,1)
42 (475,338,1),(475,302,1)
43 (475,291,1),(474,269,1)
44 (474,244,1),(473,237,1)
45 (473,198,1),(472,206,1)
46 (472,153,1),(471,176,1)
47 (470,110,1),(470,146,1)
48 (522,338,1),(524,303,1)
49 (522,290,1),(523,270,1)
50 (521,243,1),(521,237,1)
51 (519,197,1),(520,205,1)
52 (517,152,1),(518,174,1)
53 (514,109,1),(517,144,1)
4 original_uv  uvhat 
0 (240,96,1),(239,61,1)
1 (279,86,1),(279,49,1)
2 (319,76,1),(319,37,1)
3 (358,66,1),(358,25,1)
4 (397,57,1),(398,13,1)
5 (436,49,1),(438,1,1)
6 (244,127,1),(243,101,1)
7 (284,116,1),(285,89,1)
8 (326,105,1),(326,76,1)
9 (367,95,1),(367,63,1)
10 (408,86,1),(408,51,1)
11 (448,77,1),(450,39,1)
12 (248,160,1),(248,144,1)
13 (290,149,1),(291,131,1)
14 (334,138,1),(334,118,1)
15 (377,127,1),(377,105,1)
16 (420,117,1),(420,92,1)
17 (462,108,1),(462,79,1)
18 (253,197,1),(253,191,1)
19 (297,185,1),(298,177,1)
20 (342,174,1),(343,163,1)
21 (388,163,1),(387,150,1)
22 (433,152,1),(432,136,1)
23 (477,142,1),(476,123,1)
24 (258,237,1),(259,241,1)
25 (304,225,1),(305,227,1)
26 (352,213,1),(352,212,1)
27 (399,202,1),(398,198,1)
28 (446,191,1),(445,184,1)
29 (492,180,1),(491,170,1)
30 (264,280,1),(265,296,1)
31 (312,269,1),(313,281,1)
32 (362,257,1),(362,266,1)
33 (412,245,1),(410,251,1)
34 (461,233,1),(459,236,1)
35 (508,221,1),(507,221,1)
36 (271,328,1),(271,355,1)
37 (322,316,1),(322,340,1)
38 (373,304,1),(373,324,1)
39 (425,291,1),(424,308,1)
40 (476,278,1),(474,292,1)
41 (525,265,1),(524,277,1)
42 (279,378,1),(279,421,1)
43 (332,367,1),(332,404,1)
44 (385,354,1),(385,387,1)
45 (439,341,1),(438,371,1)
46 (491,327,1),(491,354,1)
47 (542,313,1),(543,338,1)
48 (288,431,1),(287,493,1)
49 (342,420,1),(343,475,1)
50 (398,407,1),(398,457,1)
51 (453,394,1),(454,440,1)
52 (507,379,1),(509,422,1)
53 (559,364,1),(564,405,1)
5 original_uv  uvhat 
0 (417,127,1),(417,51,1)
1 (449,128,1),(450,54,1)
2 (483,130,1),(484,58,1)
3 (517,133,1),(519,62,1)
4 (553,135,1),(555,66,1)
5 (588,138,1),(592,70,1)
6 (414,160,1),(414,103,1)
7 (446,162,1),(446,107,1)
8 (480,165,1),(480,112,1)
9 (514,168,1),(514,117,1)
10 (550,171,1),(550,122,1)
11 (586,175,1),(587,127,1)
12 (410,194,1),(410,154,1)
13 (443,197,1),(443,160,1)
14 (476,200,1),(476,165,1)
15 (511,204,1),(510,171,1)
16 (546,208,1),(545,176,1)
17 (582,212,1),(582,182,1)
18 (407,227,1),(407,205,1)
19 (439,231,1),(439,211,1)
20 (473,235,1),(472,217,1)
21 (507,240,1),(506,224,1)
22 (542,244,1),(541,230,1)
23 (578,248,1),(577,237,1)
24 (404,260,1),(404,255,1)
25 (436,265,1),(435,262,1)
26 (469,270,1),(468,269,1)
27 (503,275,1),(501,276,1)
28 (538,280,1),(536,284,1)
29 (573,284,1),(572,291,1)
30 (400,293,1),(400,305,1)
31 (432,298,1),(432,312,1)
32 (465,304,1),(464,320,1)
33 (499,309,1),(497,328,1)
34 (533,315,1),(532,336,1)
35 (568,320,1),(567,345,1)
36 (397,325,1),(397,354,1)
37 (428,331,1),(428,362,1)
38 (460,337,1),(460,370,1)
39 (494,343,1),(493,379,1)
40 (528,349,1),(527,388,1)
41 (563,355,1),(562,397,1)
42 (393,357,1),(394,402,1)
43 (424,363,1),(424,410,1)
44 (456,370,1),(456,420,1)
45 (489,376,1),(489,429,1)
46 (522,382,1),(523,439,1)
47 (556,388,1),(558,449,1)
48 (390,387,1),(390,449,1)
49 (420,394,1),(421,459,1)
50 (451,401,1),(452,468,1)
51 (483,408,1),(485,478,1)
52 (516,414,1),(518,489,1)
53 (550,420,1),(553,500,1)
6 original_uv  uvhat 
0 (230,105,1),(228,34,1)
1 (254,110,1),(253,43,1)
2 (281,116,1),(280,52,1)
3 (309,123,1),(308,61,1)
4 (338,130,1),(338,72,1)
5 (368,137,1),(369,82,1)
6 (219,133,1),(218,77,1)
7 (244,139,1),(243,87,1)
8 (270,146,1),(270,97,1)
9 (298,153,1),(298,108,1)
10 (327,161,1),(327,120,1)
11 (358,169,1),(358,132,1)
12 (208,161,1),(208,121,1)
13 (233,168,1),(233,132,1)
14 (259,176,1),(259,143,1)
15 (287,184,1),(287,155,1)
16 (316,192,1),(316,168,1)
17 (347,201,1),(347,181,1)
18 (198,190,1),(198,164,1)
19 (222,198,1),(223,176,1)
20 (248,206,1),(249,189,1)
21 (276,215,1),(276,202,1)
22 (305,224,1),(305,216,1)
23 (336,234,1),(336,230,1)
24 (188,219,1),(188,208,1)
25 (212,228,1),(213,221,1)
26 (238,237,1),(239,234,1)
27 (265,246,1),(266,248,1)
28 (294,256,1),(294,263,1)
29 (324,267,1),(324,279,1)
30 (178,248,1),(179,251,1)
31 (202,257,1),(203,265,1)
32 (228,267,1),(229,280,1)
33 (255,278,1),(255,295,1)
34 (283,289,1),(284,311,1)
35 (313,300,1),(313,329,1)
36 (169,277,1),(169,295,1)
37 (192,287,1),(193,310,1)
38 (217,298,1),(218,325,1)
39 (244,309,1),(245,342,1)
40 (273,321,1),(273,359,1)
41 (303,332,1),(302,378,1)
42 (160,306,1),(159,338,1)
43 (183,317,1),(183,354,1)
44 (208,328,1),(208,371,1)
45 (234,340,1),(234,389,1)
46 (262,352,1),(262,407,1)
47 (292,365,1),(291,427,1)
48 (151,334,1),(149,381,1)
49 (174,347,1),(173,399,1)
50 (198,358,1),(198,417,1)
51 (224,371,1),(224,435,1)
52 (252,383,1),(251,455,1)
53 (281,396,1),(280,476,1)
7 original_uv  uvhat 
0 (283,75,1),(282,15,1)
1 (318,77,1),(317,19,1)
2 (354,80,1),(354,24,1)
3 (392,84,1),(392,28,1)
4 (431,87,1),(431,33,1)
5 (470,92,1),(473,38,1)
6 (272,105,1),(271,58,1)
7 (307,108,1),(307,63,1)
8 (344,112,1),(344,69,1)
9 (384,115,1),(383,74,1)
10 (424,120,1),(424,80,1)
11 (465,126,1),(466,86,1)
12 (260,137,1),(260,103,1)
13 (296,141,1),(297,109,1)
14 (335,145,1),(334,116,1)
15 (375,150,1),(374,122,1)
16 (416,156,1),(415,129,1)
17 (459,162,1),(458,137,1)
18 (248,172,1),(248,150,1)
19 (285,177,1),(285,157,1)
20 (324,182,1),(324,165,1)
21 (365,188,1),(364,173,1)
22 (408,194,1),(407,181,1)
23 (452,201,1),(451,190,1)
24 (235,208,1),(236,200,1)
25 (273,214,1),(274,208,1)
26 (313,220,1),(313,217,1)
27 (355,227,1),(354,226,1)
28 (399,235,1),(397,236,1)
29 (444,242,1),(442,246,1)
30 (223,246,1),(223,251,1)
31 (260,254,1),(262,261,1)
32 (301,262,1),(302,272,1)
33 (343,270,1),(344,282,1)
34 (388,278,1),(388,294,1)
35 (435,286,1),(434,306,1)
36 (209,287,1),(210,306,1)
37 (247,295,1),(249,317,1)
38 (289,304,1),(290,329,1)
39 (332,314,1),(333,342,1)
40 (378,323,1),(378,355,1)
41 (425,332,1),(425,368,1)
42 (197,328,1),(196,363,1)
43 (235,338,1),(235,376,1)
44 (276,349,1),(277,390,1)
45 (321,359,1),(321,404,1)
46 (367,370,1),(367,419,1)
47 (415,380,1),(415,435,1)
48 (184,370,1),(181,424,1)
49 (223,382,1),(221,438,1)
50 (264,394,1),(264,454,1)
51 (309,406,1),(308,470,1)
52 (355,417,1),(355,487,1)
53 (403,428,1),(405,505,1)
8 original_uv  uvhat 
0 (189,305,1),(187,282,1)
1 (194,264,1),(193,251,1)
2 (199,220,1),(199,219,1)
3 (205,176,1),(205,186,1)
4 (211,131,1),(211,152,1)
5 (219,85,1),(218,118,1)
6 (231,307,1),(231,283,1)
7 (237,267,1),(237,253,1)
8 (242,224,1),(243,222,1)
9 (249,181,1),(250,190,1)
10 (256,137,1),(256,158,1)
11 (263,93,1),(263,125,1)
12 (272,309,1),(272,284,1)
13 (278,270,1),(278,254,1)
14 (284,228,1),(285,225,1)
15 (291,186,1),(291,194,1)
16 (298,143,1),(298,163,1)
17 (305,100,1),(305,131,1)
18 (310,310,1),(310,284,1)
19 (316,272,1),(317,256,1)
20 (323,232,1),(323,227,1)
21 (330,191,1),(330,198,1)
22 (337,150,1),(337,168,1)
23 (344,108,1),(344,137,1)
24 (346,311,1),(346,285,1)
25 (353,274,1),(353,258,1)
26 (360,236,1),(360,230,1)
27 (367,196,1),(367,201,1)
28 (374,156,1),(374,172,1)
29 (381,116,1),(381,143,1)
30 (380,312,1),(380,286,1)
31 (387,276,1),(387,259,1)
32 (394,239,1),(394,232,1)
33 (402,201,1),(401,205,1)
34 (409,162,1),(408,177,1)
35 (416,123,1),(415,148,1)
36 (412,313,1),(412,286,1)
37 (419,278,1),(419,261,1)
38 (427,242,1),(426,234,1)
39 (434,205,1),(433,208,1)
40 (441,168,1),(440,181,1)
41 (448,130,1),(448,153,1)
42 (441,313,1),(442,287,1)
43 (449,280,1),(449,262,1)
44 (456,245,1),(456,237,1)
45 (464,209,1),(463,211,1)
46 (470,173,1),(470,184,1)
47 (477,137,1),(478,157,1)
48 (469,314,1),(470,288,1)
49 (478,281,1),(477,263,1)
50 (484,248,1),(484,239,1)
51 (492,213,1),(492,213,1)
52 (498,179,1),(499,188,1)
53 (505,144,1),(507,162,1)
9 original_uv  uvhat 
0 (238,67,1),(236,-68,1)
1 (280,66,1),(279,-68,1)
2 (318,65,1),(317,-69,1)
3 (353,65,1),(353,-69,1)
4 (384,65,1),(385,-70,1)
5 (413,65,1),(415,-70,1)
6 (245,113,1),(244,19,1)
7 (286,110,1),(286,14,1)
8 (325,108,1),(325,10,1)
9 (359,105,1),(359,6,1)
10 (391,104,1),(391,2,1)
